Type Name,Type Page,Icon Name,Icon Number,Icon Page,
Thing,http://schema.org/Thing,information,22,http://thenounproject.com/noun/information/#icon-No22,http://thenounproject.com/site_media/zipped/svg_22.zip
Creative Work,http://schema.org/Creative Work,book,2248,http://thenounproject.com/noun/book/#icon-No2248,http://thenounproject.com/site_media/zipped/svg_2248.zip
Article,http://schema.org/Article,paper,1313,http://thenounproject.com/noun/paper/#icon-No1313,http://thenounproject.com/site_media/zipped/svg_1313.zip
Blog,http://schema.org/Blog,blog,328,http://thenounproject.com/noun/blog/#icon-No328,http://thenounproject.com/site_media/zipped/svg_328.zip
Book,http://schema.org/Book,book,2248,http://thenounproject.com/noun/book/#icon-No2248,http://thenounproject.com/site_media/zipped/svg_2248.zip
Comment,http://schema.org/Comment,blog,460,http://thenounproject.com/noun/blog/#icon-No460,http://thenounproject.com/site_media/zipped/svg_460.zip
ItemList,http://schema.org/ItemList,notebook,1604,http://thenounproject.com/noun/notebook/#icon-No1604,http://thenounproject.com/site_media/zipped/svg_1604.zip
Map,http://schema.org/Map,map,1670,http://thenounproject.com/noun/map/#icon-No1670,http://thenounproject.com/site_media/zipped/svg_1670.zip
MediaObject,http://schema.org/MediaObject,media,1565,http://thenounproject.com/noun/media/#icon-No1565,http://thenounproject.com/site_media/zipped/svg_1565.zip
Movie,http://schema.org/Movie,movie,1683,http://thenounproject.com/noun/movie/#icon-No1683,http://thenounproject.com/site_media/zipped/svg_1683.zip
MusicPlaylist,http://schema.org/MusicPlaylist,ipod,2169,http://thenounproject.com/noun/ipod/#icon-No2169,http://thenounproject.com/site_media/zipped/svg_2169.zip
MusicRecording,http://schema.org/MusicRecording,compact disc,1231,http://thenounproject.com/noun/compact-disc/#icon-No1231,http://thenounproject.com/site_media/zipped/svg_1231.zip
Painting,http://schema.org/Painting,paint palette,1435,http://thenounproject.com/noun/paint-palette/#icon-No1435,http://thenounproject.com/site_media/zipped/svg_1435.zip
Photograph,http://schema.org/Photograph,polaroid,1735,http://thenounproject.com/noun/polaroid/#icon-No1735,http://thenounproject.com/site_media/zipped/svg_1735.zip
Recipe,http://schema.org/Recipe,oven,2244,http://thenounproject.com/noun/oven/#icon-No2244,http://thenounproject.com/site_media/zipped/svg_2244.zip
Review,http://schema.org/Review,ribbon,1317,http://thenounproject.com/noun/ribbon/#icon-No1317,http://thenounproject.com/site_media/zipped/svg_1317.zip
Sculpture,http://schema.org/Sculpture,,,,
SoftwareApplication,http://schema.org/SoftwareApplication,,,,
TVEpisode,http://schema.org/TVEpisode,television,2315,http://thenounproject.com/noun/television/#icon-No2315,http://thenounproject.com/site_media/zipped/svg_2315.zip
TVSeason,http://schema.org/TVSeason,television,2315,http://thenounproject.com/noun/television/#icon-No2315,http://thenounproject.com/site_media/zipped/svg_2315.zip
TVSeries,http://schema.org/TVSeries,television,2315,http://thenounproject.com/noun/television/#icon-No2315,http://thenounproject.com/site_media/zipped/svg_2315.zip
WebPage,http://schema.org/WebPage,document,453,http://thenounproject.com/noun/document/#icon-No453,http://thenounproject.com/site_media/zipped/svg_453.zip
